iter	Passed	Remaining
0	0	46
1	0	43
2	1	41
3	1	38
4	2	38
5	2	37
6	2	37
7	3	36
8	3	36
9	3	35
10	4	34
11	4	34
12	5	33
13	5	33
14	5	33
15	6	33
16	6	32
17	7	32
18	7	31
19	7	31
20	8	30
21	8	30
22	8	29
23	9	29
24	9	28
25	9	28
26	10	27
27	10	27
28	11	27
29	11	26
30	11	26
31	12	25
32	12	25
33	12	24
34	13	24
35	13	24
36	13	23
37	14	23
38	14	23
39	15	22
40	15	22
41	15	21
42	16	21
43	16	21
44	16	20
45	17	20
46	17	20
47	18	19
48	18	19
49	18	18
50	19	18
51	19	18
52	20	17
53	20	17
54	20	16
55	21	16
56	21	16
57	21	15
58	22	15
59	22	15
60	23	14
61	23	14
62	24	14
63	24	13
64	25	13
65	25	13
66	25	12
67	26	12
68	26	11
69	27	11
70	27	11
71	27	10
72	28	10
73	28	10
74	29	9
75	29	9
76	30	8
77	30	8
78	30	8
79	31	7
80	31	7
81	32	7
82	32	6
83	32	6
84	33	5
85	33	5
86	34	5
87	34	4
88	35	4
89	35	3
90	36	3
91	36	3
92	36	2
93	37	2
94	37	1
95	38	1
96	38	1
97	39	0
98	39	0
99	40	0
